"","BookVal","MinorBlem","MajorBlem","PowerSeller","IDSeller","Sealed","NegFeedback","ReservePriceFrac","NBidders","FinalPrice"
"36",24.5,0,0,0,0,0,0,1.06122448979592,0,NA
"37",12.5,0,0,1,0,0,0,0.4392,6,12.57
"38",19.95,0,0,1,0,0,0,0.275187969924812,4,11.11
"39",13.5,0,0,0,0,0,0,1.07333333333333,1,14.49
"40",10.5,0,0,1,0,0,0,0.951428571428571,3,14.52
"41",14.95,0,0,1,0,0,0,0.896321070234114,4,19.96
"42",8.5,0,0,1,0,0,0,0.527058823529412,3,7.74
"43",11.5,0,0,0,0,0,0,1.17304347826087,1,13.49
"44",17.5,0,0,0,0,0,0,1.48228571428571,0,NA
"45",24.5,0,0,0,0,0,0,1.02040816326531,0,NA
"46",24.5,0,0,0,0,0,0,1.62857142857143,0,NA
"47",21.95,0,1,0,0,0,0,0.316173120728929,2,8.25
"48",18.5,0,1,0,0,0,0,0.375135135135135,3,15.35
"49",12.5,0,0,0,0,0,0,0.3192,3,14.01
"50",34.5,0,0,0,0,0,0,0.188115942028986,9,36.51
"51",22.5,0,0,1,0,0,0,0.573333333333333,4,24.9
"52",34.5,0,0,0,0,0,0,0.434492753623188,6,33.5
"53",175,0,0,0,0,0,1,0.0439428571428571,6,134.2
"54",29.95,0,0,0,0,0,0,0.465776293823038,1,13.95
"55",12.95,0,0,0,0,0,0,1.08030888030888,2,14.5
"56",10.5,0,0,1,0,0,0,0.57047619047619,3,8.26
"57",11.5,0,0,1,0,0,0,0.520869565217391,3,7.94
"58",8.5,0,0,1,0,0,0,0.704705882352941,5,8.5
"59",11.5,0,0,1,0,0,0,0.520869565217391,4,8.8
"60",8.5,0,0,1,0,0,0,0.704705882352941,3,7.31
"61",7.95,1,0,1,0,0,0,0.753459119496855,3,8.25
"62",9.5,0,0,1,0,0,0,0.630526315789474,3,8.75
"63",35.5,0,0,0,0,0,0,0.422253521126761,4,36.05
"64",39.5,0,0,1,0,0,0,1.13325495393996,1,44.7635706806284
"65",59.5,0,0,1,1,0,0,0.0836974789915966,4,44.99
"66",46.5,0,0,0,0,0,1,0.139569892473118,6,22.06
"67",27.5,0,0,1,0,0,0,1.27272727272727,0,NA
"68",8.5,0,0,1,0,0,0,1.12941176470588,2,13
"69",9.5,0,0,1,0,0,0,1.10526315789474,2,11.75
"70",35.5,0,0,0,0,0,0,0.253239436619718,7,33
"71",9.5,0,0,1,0,0,0,1.08421052631579,2,14.75
"72",13.5,0,0,1,0,0,0,0.97037037037037,1,13.1
"73",35.5,0,0,0,0,0,0,0.16235410367967,5,33.3235706806283
"74",10.5,0,0,1,0,0,0,0.57047619047619,2,10.5
"75",399.5,1,0,1,0,0,0,0.762862504832611,0,NA
"76",11.5,0,0,1,0,0,0,0.520869565217391,4,9.25
"77",10.5,0,0,1,0,0,0,0.57047619047619,3,8.25
"78",8.5,0,0,1,0,0,0,0.704705882352941,1,5.99
"79",8.5,0,0,1,0,0,0,0.704705882352941,1,5.99
